Datetime,Concentration,Country_code,Country,City,Pollutant,Year,Month,Day
2013-01-01 01:00:00+01:00,119.12,RS,Serbia,Belgrade,PM10,2013,1,1
2013-01-01 02:00:00+01:00,102.37,RS,Serbia,Belgrade,PM10,2013,1,1
2013-01-01 03:00:00+01:00,79.17,RS,Serbia,Belgrade,PM10,2013,1,1
2013-01-01 04:00:00+01:00,66.13,RS,Serbia,Belgrade,PM10,2013,1,1
2013-01-01 05:00:00+01:00,61.08,RS,Serbia,Belgrade,PM10,2013,1,1
2013-01-01 06:00:00+01:00,55.3,RS,Serbia,Belgrade,PM10,2013,1,1
2013-01-01 07:00:00+01:00,53.27,RS,Serbia,Belgrade,PM10,2013,1,1
2013-01-01 08:00:00+01:00,57.48,RS,Serbia,Belgrade,PM10,2013,1,1
2013-01-01 09:00:00+01:00,58.1,RS,Serbia,Belgrade,PM10,2013,1,1
2013-01-01 10:00:00+01:00,54.08,RS,Serbia,Belgrade,PM10,2013,1,1
2013-01-01 11:00:00+01:00,54.02,RS,Serbia,Belgrade,PM10,2013,1,1
2013-01-01 12:00:00+01:00,73.7,RS,Serbia,Belgrade,PM10,2013,1,1
2013-01-01 13:00:00+01:00,81.93,RS,Serbia,Belgrade,PM10,2013,1,1
2013-01-01 14:00:00+01:00,80.87,RS,Serbia,Belgrade,PM10,2013,1,1
2013-01-01 15:00:00+01:00,79.68,RS,Serbia,Belgrade,PM10,2013,1,1
2013-01-01 16:00:00+01:00,88.12,RS,Serbia,Belgrade,PM10,2013,1,1
2013-01-01 17:00:00+01:00,97.3,RS,Serbia,Belgrade,PM10,2013,1,1
2013-01-01 18:00:00+01:00,94.95,RS,Serbia,Belgrade,PM10,2013,1,1
2013-01-01 19:00:00+01:00,99.1,RS,Serbia,Belgrade,PM10,2013,1,1
2013-01-01 20:00:00+01:00,113.25,RS,Serbia,Belgrade,PM10,2013,1,1
2013-01-01 21:00:00+01:00,125.95,RS,Serbia,Belgrade,PM10,2013,1,1
2013-01-01 22:00:00+01:00,116.73,RS,Serbia,Belgrade,PM10,2013,1,1
2013-01-01 23:00:00+01:00,106.55,RS,Serbia,Belgrade,PM10,2013,1,1
2013-01-02 00:00:00+01:00,107.93,RS,Serbia,Belgrade,PM10,2013,1,2
2013-01-02 01:00:00+01:00,89.65,RS,Serbia,Belgrade,PM10,2013,1,2
2013-01-02 02:00:00+01:00,86.97,RS,Serbia,Belgrade,PM10,2013,1,2
2013-01-02 03:00:00+01:00,90.47,RS,Serbia,Belgrade,PM10,2013,1,2
2013-01-02 04:00:00+01:00,96.02,RS,Serbia,Belgrade,PM10,2013,1,2
2013-01-02 05:00:00+01:00,99.63,RS,Serbia,Belgrade,PM10,2013,1,2
2013-01-02 06:00:00+01:00,104.77,RS,Serbia,Belgrade,PM10,2013,1,2
2013-01-02 07:00:00+01:00,109.88,RS,Serbia,Belgrade,PM10,2013,1,2
2013-01-02 08:00:00+01:00,116.4,RS,Serbia,Belgrade,PM10,2013,1,2
2013-01-02 09:00:00+01:00,139.3,RS,Serbia,Belgrade,PM10,2013,1,2
2013-01-02 10:00:00+01:00,143.25,RS,Serbia,Belgrade,PM10,2013,1,2
2013-01-02 11:00:00+01:00,155.22,RS,Serbia,Belgrade,PM10,2013,1,2
2013-01-02 12:00:00+01:00,162.32,RS,Serbia,Belgrade,PM10,2013,1,2
2013-01-02 13:00:00+01:00,145.45,RS,Serbia,Belgrade,PM10,2013,1,2
2013-01-02 14:00:00+01:00,116.37,RS,Serbia,Belgrade,PM10,2013,1,2
2013-01-02 15:00:00+01:00,119.1,RS,Serbia,Belgrade,PM10,2013,1,2
2013-01-02 16:00:00+01:00,132.98,RS,Serbia,Belgrade,PM10,2013,1,2
2013-01-02 17:00:00+01:00,128.93,RS,Serbia,Belgrade,PM10,2013,1,2
2013-01-02 18:00:00+01:00,116.3,RS,Serbia,Belgrade,PM10,2013,1,2
2013-01-02 19:00:00+01:00,106.15,RS,Serbia,Belgrade,PM10,2013,1,2
2013-01-02 20:00:00+01:00,100.33,RS,Serbia,Belgrade,PM10,2013,1,2
2013-01-02 21:00:00+01:00,104.03,RS,Serbia,Belgrade,PM10,2013,1,2
2013-01-02 22:00:00+01:00,91.25,RS,Serbia,Belgrade,PM10,2013,1,2
2013-01-02 23:00:00+01:00,96.53,RS,Serbia,Belgrade,PM10,2013,1,2
2013-01-03 00:00:00+01:00,87.13,RS,Serbia,Belgrade,PM10,2013,1,3
2013-01-03 01:00:00+01:00,84.02,RS,Serbia,Belgrade,PM10,2013,1,3
2013-01-03 02:00:00+01:00,75.42,RS,Serbia,Belgrade,PM10,2013,1,3
2013-01-03 03:00:00+01:00,63.87,RS,Serbia,Belgrade,PM10,2013,1,3
2013-01-03 04:00:00+01:00,63.15,RS,Serbia,Belgrade,PM10,2013,1,3
