Datetime,Concentration,Country_code,Country,City,Pollutant,Year,Month,Day
2013-01-02 00:00:00+01:00,35.63,CH,Switzerland,Bern,PM10,2013,1,2
2013-01-03 00:00:00+01:00,12.1,CH,Switzerland,Bern,PM10,2013,1,3
2013-01-04 00:00:00+01:00,20.87,CH,Switzerland,Bern,PM10,2013,1,4
2013-01-05 00:00:00+01:00,26.77,CH,Switzerland,Bern,PM10,2013,1,5
2013-01-06 00:00:00+01:00,21.93,CH,Switzerland,Bern,PM10,2013,1,6
2013-01-07 00:00:00+01:00,15.5,CH,Switzerland,Bern,PM10,2013,1,7
2013-01-08 00:00:00+01:00,19.0,CH,Switzerland,Bern,PM10,2013,1,8
2013-01-09 00:00:00+01:00,32.27,CH,Switzerland,Bern,PM10,2013,1,9
2013-01-10 00:00:00+01:00,37.93,CH,Switzerland,Bern,PM10,2013,1,10
2013-01-11 00:00:00+01:00,27.67,CH,Switzerland,Bern,PM10,2013,1,11
2013-01-12 00:00:00+01:00,13.47,CH,Switzerland,Bern,PM10,2013,1,12
2013-01-13 00:00:00+01:00,21.17,CH,Switzerland,Bern,PM10,2013,1,13
2013-01-14 00:00:00+01:00,23.57,CH,Switzerland,Bern,PM10,2013,1,14
2013-01-15 00:00:00+01:00,27.07,CH,Switzerland,Bern,PM10,2013,1,15
2013-01-16 00:00:00+01:00,18.87,CH,Switzerland,Bern,PM10,2013,1,16
2013-01-17 00:00:00+01:00,21.27,CH,Switzerland,Bern,PM10,2013,1,17
2013-01-18 00:00:00+01:00,29.3,CH,Switzerland,Bern,PM10,2013,1,18
2013-01-19 00:00:00+01:00,50.13,CH,Switzerland,Bern,PM10,2013,1,19
2013-01-20 00:00:00+01:00,48.53,CH,Switzerland,Bern,PM10,2013,1,20
2013-01-21 00:00:00+01:00,49.53,CH,Switzerland,Bern,PM10,2013,1,21
2013-01-22 00:00:00+01:00,20.73,CH,Switzerland,Bern,PM10,2013,1,22
