Datetime,Concentration,Country_code,Country,City,Pollutant,Year,Month,Day
2013-01-02 00:00:00+01:00,73.8,ME,Montenegro,Podgorica,PM10,2013,1,2
2013-01-03 00:00:00+01:00,66.88,ME,Montenegro,Podgorica,PM10,2013,1,3
2013-01-04 00:00:00+01:00,41.85,ME,Montenegro,Podgorica,PM10,2013,1,4
2013-01-05 00:00:00+01:00,51.61,ME,Montenegro,Podgorica,PM10,2013,1,5
2013-01-06 00:00:00+01:00,62.38,ME,Montenegro,Podgorica,PM10,2013,1,6
2013-01-07 00:00:00+01:00,59.68,ME,Montenegro,Podgorica,PM10,2013,1,7
2013-01-08 00:00:00+01:00,59.83,ME,Montenegro,Podgorica,PM10,2013,1,8
2013-01-09 00:00:00+01:00,57.03,ME,Montenegro,Podgorica,PM10,2013,1,9
2013-01-10 00:00:00+01:00,36.9,ME,Montenegro,Podgorica,PM10,2013,1,10
2013-01-11 00:00:00+01:00,34.66,ME,Montenegro,Podgorica,PM10,2013,1,11
2013-01-12 00:00:00+01:00,47.59,ME,Montenegro,Podgorica,PM10,2013,1,12
2013-01-13 00:00:00+01:00,49.19,ME,Montenegro,Podgorica,PM10,2013,1,13
2013-01-14 00:00:00+01:00,59.84,ME,Montenegro,Podgorica,PM10,2013,1,14
2013-01-15 00:00:00+01:00,58.92,ME,Montenegro,Podgorica,PM10,2013,1,15
2013-01-16 00:00:00+01:00,52.36,ME,Montenegro,Podgorica,PM10,2013,1,16
2013-01-17 00:00:00+01:00,30.46,ME,Montenegro,Podgorica,PM10,2013,1,17
2013-01-18 00:00:00+01:00,31.11,ME,Montenegro,Podgorica,PM10,2013,1,18
2013-01-19 00:00:00+01:00,47.18,ME,Montenegro,Podgorica,PM10,2013,1,19
2013-01-20 00:00:00+01:00,43.37,ME,Montenegro,Podgorica,PM10,2013,1,20
2013-01-21 00:00:00+01:00,53.79,ME,Montenegro,Podgorica,PM10,2013,1,21
2013-01-22 00:00:00+01:00,61.77,ME,Montenegro,Podgorica,PM10,2013,1,22
2013-01-23 00:00:00+01:00,68.49,ME,Montenegro,Podgorica,PM10,2013,1,23
2013-01-24 00:00:00+01:00,61.42,ME,Montenegro,Podgorica,PM10,2013,1,24
2013-01-25 00:00:00+01:00,61.85,ME,Montenegro,Podgorica,PM10,2013,1,25
2013-01-26 00:00:00+01:00,58.62,ME,Montenegro,Podgorica,PM10,2013,1,26
2013-01-27 00:00:00+01:00,45.87,ME,Montenegro,Podgorica,PM10,2013,1,27
2013-01-28 00:00:00+01:00,42.76,ME,Montenegro,Podgorica,PM10,2013,1,28
2013-01-29 00:00:00+01:00,54.02,ME,Montenegro,Podgorica,PM10,2013,1,29
2013-01-30 00:00:00+01:00,78.56,ME,Montenegro,Podgorica,PM10,2013,1,30
2013-01-31 00:00:00+01:00,78.68,ME,Montenegro,Podgorica,PM10,2013,1,31
2013-02-01 00:00:00+01:00,73.26,ME,Montenegro,Podgorica,PM10,2013,2,1
2013-02-02 00:00:00+01:00,97.95,ME,Montenegro,Podgorica,PM10,2013,2,2
2013-02-03 00:00:00+01:00,55.51,ME,Montenegro,Podgorica,PM10,2013,2,3
2013-02-04 00:00:00+01:00,35.73,ME,Montenegro,Podgorica,PM10,2013,2,4
2013-02-05 00:00:00+01:00,37.65,ME,Montenegro,Podgorica,PM10,2013,2,5
2013-02-06 00:00:00+01:00,71.17,ME,Montenegro,Podgorica,PM10,2013,2,6
2013-02-07 00:00:00+01:00,65.57,ME,Montenegro,Podgorica,PM10,2013,2,7
2013-02-08 00:00:00+01:00,33.39,ME,Montenegro,Podgorica,PM10,2013,2,8
2013-02-09 00:00:00+01:00,25.81,ME,Montenegro,Podgorica,PM10,2013,2,9
2013-02-10 00:00:00+01:00,37.66,ME,Montenegro,Podgorica,PM10,2013,2,10
2013-02-11 00:00:00+01:00,45.46,ME,Montenegro,Podgorica,PM10,2013,2,11
2013-02-12 00:00:00+01:00,45.35,ME,Montenegro,Podgorica,PM10,2013,2,12
2013-02-13 00:00:00+01:00,40.17,ME,Montenegro,Podgorica,PM10,2013,2,13
2013-02-14 00:00:00+01:00,41.29,ME,Montenegro,Podgorica,PM10,2013,2,14
2013-02-15 00:00:00+01:00,35.01,ME,Montenegro,Podgorica,PM10,2013,2,15
2013-02-16 00:00:00+01:00,43.34,ME,Montenegro,Podgorica,PM10,2013,2,16
2013-02-17 00:00:00+01:00,44.08,ME,Montenegro,Podgorica,PM10,2013,2,17
2013-02-18 00:00:00+01:00,52.38,ME,Montenegro,Podgorica,PM10,2013,2,18
2013-02-19 00:00:00+01:00,46.43,ME,Montenegro,Podgorica,PM10,2013,2,19
2013-02-20 00:00:00+01:00,49.01,ME,Montenegro,Podgorica,PM10,2013,2,20
2013-02-21 00:00:00+01:00,49.92,ME,Montenegro,Podgorica,PM10,2013,2,21
2013-02-22 00:00:00+01:00,52.24,ME,Montenegro,Podgorica,PM10,2013,2,22
2013-02-23 00:00:00+01:00,48.3,ME,Montenegro,Podgorica,PM10,2013,2,23
2013-02-24 00:00:00+01:00,52.89,ME,Montenegro,Podgorica,PM10,2013,2,24
2013-02-25 00:00:00+01:00,37.8,ME,Montenegro,Podgorica,PM10,2013,2,25
2013-02-26 00:00:00+01:00,42.08,ME,Montenegro,Podgorica,PM10,2013,2,26
2013-02-27 00:00:00+01:00,39.01,ME,Montenegro,Podgorica,PM10,2013,2,27
2013-02-28 00:00:00+01:00,48.72,ME,Montenegro,Podgorica,PM10,2013,2,28
2013-03-01 00:00:00+01:00,40.54,ME,Montenegro,Podgorica,PM10,2013,3,1
2013-03-02 00:00:00+01:00,50.92,ME,Montenegro,Podgorica,PM10,2013,3,2
2013-03-03 00:00:00+01:00,52.07,ME,Montenegro,Podgorica,PM10,2013,3,3
2013-03-04 00:00:00+01:00,43.91,ME,Montenegro,Podgorica,PM10,2013,3,4
2013-03-05 00:00:00+01:00,59.19,ME,Montenegro,Podgorica,PM10,2013,3,5
2013-03-06 00:00:00+01:00,63.74,ME,Montenegro,Podgorica,PM10,2013,3,6
2013-03-07 00:00:00+01:00,62.42,ME,Montenegro,Podgorica,PM10,2013,3,7
2013-03-08 00:00:00+01:00,47.76,ME,Montenegro,Podgorica,PM10,2013,3,8
2013-03-09 00:00:00+01:00,39.51,ME,Montenegro,Podgorica,PM10,2013,3,9
2013-03-10 00:00:00+01:00,37.55,ME,Montenegro,Podgorica,PM10,2013,3,10
2013-03-11 00:00:00+01:00,41.66,ME,Montenegro,Podgorica,PM10,2013,3,11
2013-03-12 00:00:00+01:00,29.6,ME,Montenegro,Podgorica,PM10,2013,3,12
2013-03-13 00:00:00+01:00,31.11,ME,Montenegro,Podgorica,PM10,2013,3,13
2013-03-14 00:00:00+01:00,27.22,ME,Montenegro,Podgorica,PM10,2013,3,14
2013-03-15 00:00:00+01:00,28.36,ME,Montenegro,Podgorica,PM10,2013,3,15
2013-03-16 00:00:00+01:00,20.65,ME,Montenegro,Podgorica,PM10,2013,3,16
2013-03-17 00:00:00+01:00,19.72,ME,Montenegro,Podgorica,PM10,2013,3,17
2013-03-18 00:00:00+01:00,24.06,ME,Montenegro,Podgorica,PM10,2013,3,18
2013-03-19 00:00:00+01:00,33.82,ME,Montenegro,Podgorica,PM10,2013,3,19
2013-03-20 00:00:00+01:00,32.75,ME,Montenegro,Podgorica,PM10,2013,3,20
2013-03-21 00:00:00+01:00,40.53,ME,Montenegro,Podgorica,PM10,2013,3,21
2013-03-22 00:00:00+01:00,44.08,ME,Montenegro,Podgorica,PM10,2013,3,22
2013-03-23 00:00:00+01:00,29.3,ME,Montenegro,Podgorica,PM10,2013,3,23
2013-03-24 00:00:00+01:00,36.57,ME,Montenegro,Podgorica,PM10,2013,3,24
2013-03-25 00:00:00+01:00,47.84,ME,Montenegro,Podgorica,PM10,2013,3,25
2013-03-26 00:00:00+01:00,69.83,ME,Montenegro,Podgorica,PM10,2013,3,26
2013-03-27 00:00:00+01:00,59.31,ME,Montenegro,Podgorica,PM10,2013,3,27
2013-03-28 00:00:00+01:00,29.99,ME,Montenegro,Podgorica,PM10,2013,3,28
2013-03-29 00:00:00+01:00,40.13,ME,Montenegro,Podgorica,PM10,2013,3,29
2013-03-30 00:00:00+01:00,32.94,ME,Montenegro,Podgorica,PM10,2013,3,30
2013-03-31 00:00:00+01:00,44.52,ME,Montenegro,Podgorica,PM10,2013,3,31
2013-04-01 00:00:00+01:00,27.39,ME,Montenegro,Podgorica,PM10,2013,4,1
2013-04-02 00:00:00+01:00,33.5,ME,Montenegro,Podgorica,PM10,2013,4,2
2013-04-03 00:00:00+01:00,20.64,ME,Montenegro,Podgorica,PM10,2013,4,3
2013-04-04 00:00:00+01:00,26.88,ME,Montenegro,Podgorica,PM10,2013,4,4
2013-04-05 00:00:00+01:00,31.33,ME,Montenegro,Podgorica,PM10,2013,4,5
2013-04-06 00:00:00+01:00,33.3,ME,Montenegro,Podgorica,PM10,2013,4,6
2013-04-07 00:00:00+01:00,44.77,ME,Montenegro,Podgorica,PM10,2013,4,7
2013-04-08 00:00:00+01:00,24.15,ME,Montenegro,Podgorica,PM10,2013,4,8
2013-04-09 00:00:00+01:00,31.62,ME,Montenegro,Podgorica,PM10,2013,4,9
2013-04-10 00:00:00+01:00,39.93,ME,Montenegro,Podgorica,PM10,2013,4,10
2013-04-11 00:00:00+01:00,47.21,ME,Montenegro,Podgorica,PM10,2013,4,11
2013-04-12 00:00:00+01:00,36.13,ME,Montenegro,Podgorica,PM10,2013,4,12
2013-04-13 00:00:00+01:00,36.03,ME,Montenegro,Podgorica,PM10,2013,4,13
2013-04-14 00:00:00+01:00,24.96,ME,Montenegro,Podgorica,PM10,2013,4,14
2013-04-15 00:00:00+01:00,21.03,ME,Montenegro,Podgorica,PM10,2013,4,15
2013-04-16 00:00:00+01:00,22.83,ME,Montenegro,Podgorica,PM10,2013,4,16
2013-04-17 00:00:00+01:00,21.78,ME,Montenegro,Podgorica,PM10,2013,4,17
2013-04-18 00:00:00+01:00,25.1,ME,Montenegro,Podgorica,PM10,2013,4,18
2013-04-19 00:00:00+01:00,29.55,ME,Montenegro,Podgorica,PM10,2013,4,19
2013-04-20 00:00:00+01:00,41.54,ME,Montenegro,Podgorica,PM10,2013,4,20
2013-04-21 00:00:00+01:00,39.41,ME,Montenegro,Podgorica,PM10,2013,4,21
2013-04-22 00:00:00+01:00,39.93,ME,Montenegro,Podgorica,PM10,2013,4,22
2013-04-23 00:00:00+01:00,41.53,ME,Montenegro,Podgorica,PM10,2013,4,23
2013-04-24 00:00:00+01:00,34.98,ME,Montenegro,Podgorica,PM10,2013,4,24
2013-04-25 00:00:00+01:00,36.46,ME,Montenegro,Podgorica,PM10,2013,4,25
2013-04-26 00:00:00+01:00,37.71,ME,Montenegro,Podgorica,PM10,2013,4,26
2013-04-27 00:00:00+01:00,38.33,ME,Montenegro,Podgorica,PM10,2013,4,27
2013-04-28 00:00:00+01:00,36.56,ME,Montenegro,Podgorica,PM10,2013,4,28
2013-04-29 00:00:00+01:00,35.2,ME,Montenegro,Podgorica,PM10,2013,4,29
2013-04-30 00:00:00+01:00,40.74,ME,Montenegro,Podgorica,PM10,2013,4,30
2013-05-01 00:00:00+01:00,42.89,ME,Montenegro,Podgorica,PM10,2013,5,1
2013-05-02 00:00:00+01:00,43.47,ME,Montenegro,Podgorica,PM10,2013,5,2
2013-05-03 00:00:00+01:00,53.03,ME,Montenegro,Podgorica,PM10,2013,5,3
2013-05-04 00:00:00+01:00,47.68,ME,Montenegro,Podgorica,PM10,2013,5,4
2013-05-05 00:00:00+01:00,56.82,ME,Montenegro,Podgorica,PM10,2013,5,5
2013-05-06 00:00:00+01:00,64.14,ME,Montenegro,Podgorica,PM10,2013,5,6
2013-05-07 00:00:00+01:00,30.22,ME,Montenegro,Podgorica,PM10,2013,5,7
2013-05-08 00:00:00+01:00,33.12,ME,Montenegro,Podgorica,PM10,2013,5,8
2013-05-09 00:00:00+01:00,22.02,ME,Montenegro,Podgorica,PM10,2013,5,9
2013-05-10 00:00:00+01:00,19.76,ME,Montenegro,Podgorica,PM10,2013,5,10
2013-05-11 00:00:00+01:00,16.33,ME,Montenegro,Podgorica,PM10,2013,5,11
2013-05-12 00:00:00+01:00,17.46,ME,Montenegro,Podgorica,PM10,2013,5,12
2013-05-13 00:00:00+01:00,13.21,ME,Montenegro,Podgorica,PM10,2013,5,13
2013-05-14 00:00:00+01:00,23.45,ME,Montenegro,Podgorica,PM10,2013,5,14
2013-05-15 00:00:00+01:00,24.28,ME,Montenegro,Podgorica,PM10,2013,5,15
2013-05-16 00:00:00+01:00,19.85,ME,Montenegro,Podgorica,PM10,2013,5,16
2013-05-17 00:00:00+01:00,23.62,ME,Montenegro,Podgorica,PM10,2013,5,17
2013-05-18 00:00:00+01:00,44.21,ME,Montenegro,Podgorica,PM10,2013,5,18
2013-05-19 00:00:00+01:00,28.42,ME,Montenegro,Podgorica,PM10,2013,5,19
2013-05-20 00:00:00+01:00,37.99,ME,Montenegro,Podgorica,PM10,2013,5,20
2013-05-21 00:00:00+01:00,40.42,ME,Montenegro,Podgorica,PM10,2013,5,21
2013-05-22 00:00:00+01:00,30.56,ME,Montenegro,Podgorica,PM10,2013,5,22
2013-05-23 00:00:00+01:00,22.99,ME,Montenegro,Podgorica,PM10,2013,5,23
2013-05-24 00:00:00+01:00,19.17,ME,Montenegro,Podgorica,PM10,2013,5,24
2013-05-25 00:00:00+01:00,17.55,ME,Montenegro,Podgorica,PM10,2013,5,25
2013-05-26 00:00:00+01:00,15.54,ME,Montenegro,Podgorica,PM10,2013,5,26
2013-05-27 00:00:00+01:00,15.94,ME,Montenegro,Podgorica,PM10,2013,5,27
2013-05-28 00:00:00+01:00,19.52,ME,Montenegro,Podgorica,PM10,2013,5,28
2013-05-29 00:00:00+01:00,21.22,ME,Montenegro,Podgorica,PM10,2013,5,29
2013-05-30 00:00:00+01:00,34.86,ME,Montenegro,Podgorica,PM10,2013,5,30
2013-05-31 00:00:00+01:00,27.1,ME,Montenegro,Podgorica,PM10,2013,5,31
2013-06-01 00:00:00+01:00,13.01,ME,Montenegro,Podgorica,PM10,2013,6,1
2013-06-02 00:00:00+01:00,10.74,ME,Montenegro,Podgorica,PM10,2013,6,2
2013-06-03 00:00:00+01:00,14.96,ME,Montenegro,Podgorica,PM10,2013,6,3
2013-06-04 00:00:00+01:00,15.03,ME,Montenegro,Podgorica,PM10,2013,6,4
2013-06-05 00:00:00+01:00,13.74,ME,Montenegro,Podgorica,PM10,2013,6,5
2013-06-06 00:00:00+01:00,12.98,ME,Montenegro,Podgorica,PM10,2013,6,6
2013-06-07 00:00:00+01:00,15.16,ME,Montenegro,Podgorica,PM10,2013,6,7
2013-06-08 00:00:00+01:00,13.44,ME,Montenegro,Podgorica,PM10,2013,6,8
2013-06-09 00:00:00+01:00,14.67,ME,Montenegro,Podgorica,PM10,2013,6,9
2013-06-10 00:00:00+01:00,15.42,ME,Montenegro,Podgorica,PM10,2013,6,10
2013-06-11 00:00:00+01:00,14.56,ME,Montenegro,Podgorica,PM10,2013,6,11
2013-06-12 00:00:00+01:00,20.8,ME,Montenegro,Podgorica,PM10,2013,6,12
2013-06-13 00:00:00+01:00,10.9,ME,Montenegro,Podgorica,PM10,2013,6,13
2013-06-14 00:00:00+01:00,13.62,ME,Montenegro,Podgorica,PM10,2013,6,14
2013-06-15 00:00:00+01:00,19.62,ME,Montenegro,Podgorica,PM10,2013,6,15
2013-06-16 00:00:00+01:00,19.74,ME,Montenegro,Podgorica,PM10,2013,6,16
2013-06-17 00:00:00+01:00,21.84,ME,Montenegro,Podgorica,PM10,2013,6,17
2013-06-18 00:00:00+01:00,23.5,ME,Montenegro,Podgorica,PM10,2013,6,18
2013-06-19 00:00:00+01:00,24.36,ME,Montenegro,Podgorica,PM10,2013,6,19
2013-06-20 00:00:00+01:00,21.83,ME,Montenegro,Podgorica,PM10,2013,6,20
2013-06-21 00:00:00+01:00,27.2,ME,Montenegro,Podgorica,PM10,2013,6,21
2013-06-22 00:00:00+01:00,20.26,ME,Montenegro,Podgorica,PM10,2013,6,22
2013-06-23 00:00:00+01:00,19.69,ME,Montenegro,Podgorica,PM10,2013,6,23
2013-06-24 00:00:00+01:00,20.11,ME,Montenegro,Podgorica,PM10,2013,6,24
2013-06-25 00:00:00+01:00,15.2,ME,Montenegro,Podgorica,PM10,2013,6,25
2013-06-26 00:00:00+01:00,18.6,ME,Montenegro,Podgorica,PM10,2013,6,26
2013-06-27 00:00:00+01:00,15.32,ME,Montenegro,Podgorica,PM10,2013,6,27
2013-06-28 00:00:00+01:00,11.39,ME,Montenegro,Podgorica,PM10,2013,6,28
2013-06-29 00:00:00+01:00,12.82,ME,Montenegro,Podgorica,PM10,2013,6,29
2013-06-30 00:00:00+01:00,14.3,ME,Montenegro,Podgorica,PM10,2013,6,30
2013-07-01 00:00:00+01:00,12.66,ME,Montenegro,Podgorica,PM10,2013,7,1
2013-07-02 00:00:00+01:00,22.24,ME,Montenegro,Podgorica,PM10,2013,7,2
2013-07-03 00:00:00+01:00,18.94,ME,Montenegro,Podgorica,PM10,2013,7,3
2013-07-04 00:00:00+01:00,24.02,ME,Montenegro,Podgorica,PM10,2013,7,4
2013-07-05 00:00:00+01:00,20.66,ME,Montenegro,Podgorica,PM10,2013,7,5
2013-07-06 00:00:00+01:00,25.22,ME,Montenegro,Podgorica,PM10,2013,7,6
2013-07-07 00:00:00+01:00,21.15,ME,Montenegro,Podgorica,PM10,2013,7,7
2013-07-08 00:00:00+01:00,21.3,ME,Montenegro,Podgorica,PM10,2013,7,8
2013-07-09 00:00:00+01:00,22.91,ME,Montenegro,Podgorica,PM10,2013,7,9
2013-07-10 00:00:00+01:00,13.57,ME,Montenegro,Podgorica,PM10,2013,7,10
2013-07-11 00:00:00+01:00,21.88,ME,Montenegro,Podgorica,PM10,2013,7,11
2013-07-12 00:00:00+01:00,14.55,ME,Montenegro,Podgorica,PM10,2013,7,12
2013-07-13 00:00:00+01:00,15.82,ME,Montenegro,Podgorica,PM10,2013,7,13
2013-07-14 00:00:00+01:00,17.99,ME,Montenegro,Podgorica,PM10,2013,7,14
2013-07-15 00:00:00+01:00,18.06,ME,Montenegro,Podgorica,PM10,2013,7,15
2013-07-16 00:00:00+01:00,21.59,ME,Montenegro,Podgorica,PM10,2013,7,16
2013-07-17 00:00:00+01:00,21.08,ME,Montenegro,Podgorica,PM10,2013,7,17
2013-07-18 00:00:00+01:00,20.84,ME,Montenegro,Podgorica,PM10,2013,7,18
2013-07-19 00:00:00+01:00,20.24,ME,Montenegro,Podgorica,PM10,2013,7,19
2013-07-20 00:00:00+01:00,25.24,ME,Montenegro,Podgorica,PM10,2013,7,20
2013-07-21 00:00:00+01:00,21.77,ME,Montenegro,Podgorica,PM10,2013,7,21
2013-07-22 00:00:00+01:00,21.31,ME,Montenegro,Podgorica,PM10,2013,7,22
2013-07-23 00:00:00+01:00,18.0,ME,Montenegro,Podgorica,PM10,2013,7,23
2013-07-24 00:00:00+01:00,22.85,ME,Montenegro,Podgorica,PM10,2013,7,24
2013-07-25 00:00:00+01:00,20.39,ME,Montenegro,Podgorica,PM10,2013,7,25
2013-07-26 00:00:00+01:00,21.64,ME,Montenegro,Podgorica,PM10,2013,7,26
2013-07-27 00:00:00+01:00,30.73,ME,Montenegro,Podgorica,PM10,2013,7,27
2013-07-28 00:00:00+01:00,27.44,ME,Montenegro,Podgorica,PM10,2013,7,28
2013-07-29 00:00:00+01:00,26.49,ME,Montenegro,Podgorica,PM10,2013,7,29
2013-07-30 00:00:00+01:00,28.4,ME,Montenegro,Podgorica,PM10,2013,7,30
2013-07-31 00:00:00+01:00,28.04,ME,Montenegro,Podgorica,PM10,2013,7,31
2013-08-01 00:00:00+01:00,19.66,ME,Montenegro,Podgorica,PM10,2013,8,1
2013-08-02 00:00:00+01:00,22.37,ME,Montenegro,Podgorica,PM10,2013,8,2
2013-08-03 00:00:00+01:00,32.58,ME,Montenegro,Podgorica,PM10,2013,8,3
2013-08-04 00:00:00+01:00,33.32,ME,Montenegro,Podgorica,PM10,2013,8,4
2013-08-05 00:00:00+01:00,32.79,ME,Montenegro,Podgorica,PM10,2013,8,5
2013-08-06 00:00:00+01:00,32.37,ME,Montenegro,Podgorica,PM10,2013,8,6
2013-08-07 00:00:00+01:00,33.12,ME,Montenegro,Podgorica,PM10,2013,8,7
2013-08-08 00:00:00+01:00,37.94,ME,Montenegro,Podgorica,PM10,2013,8,8
2013-08-09 00:00:00+01:00,39.01,ME,Montenegro,Podgorica,PM10,2013,8,9
2013-08-10 00:00:00+01:00,40.63,ME,Montenegro,Podgorica,PM10,2013,8,10
2013-08-11 00:00:00+01:00,43.27,ME,Montenegro,Podgorica,PM10,2013,8,11
2013-08-12 00:00:00+01:00,34.39,ME,Montenegro,Podgorica,PM10,2013,8,12
2013-08-13 00:00:00+01:00,46.15,ME,Montenegro,Podgorica,PM10,2013,8,13
2013-08-14 00:00:00+01:00,35.9,ME,Montenegro,Podgorica,PM10,2013,8,14
2013-08-15 00:00:00+01:00,33.46,ME,Montenegro,Podgorica,PM10,2013,8,15
2013-08-16 00:00:00+01:00,25.78,ME,Montenegro,Podgorica,PM10,2013,8,16
2013-08-17 00:00:00+01:00,30.92,ME,Montenegro,Podgorica,PM10,2013,8,17
2013-08-18 00:00:00+01:00,37.66,ME,Montenegro,Podgorica,PM10,2013,8,18
2013-08-19 00:00:00+01:00,34.5,ME,Montenegro,Podgorica,PM10,2013,8,19
2013-08-20 00:00:00+01:00,34.92,ME,Montenegro,Podgorica,PM10,2013,8,20
2013-08-21 00:00:00+01:00,41.26,ME,Montenegro,Podgorica,PM10,2013,8,21
2013-08-22 00:00:00+01:00,36.57,ME,Montenegro,Podgorica,PM10,2013,8,22
2013-08-23 00:00:00+01:00,41.43,ME,Montenegro,Podgorica,PM10,2013,8,23
2013-08-24 00:00:00+01:00,38.68,ME,Montenegro,Podgorica,PM10,2013,8,24
2013-08-25 00:00:00+01:00,33.44,ME,Montenegro,Podgorica,PM10,2013,8,25
2013-08-26 00:00:00+01:00,25.3,ME,Montenegro,Podgorica,PM10,2013,8,26
2013-08-27 00:00:00+01:00,28.2,ME,Montenegro,Podgorica,PM10,2013,8,27
2013-08-28 00:00:00+01:00,28.38,ME,Montenegro,Podgorica,PM10,2013,8,28
2013-08-29 00:00:00+01:00,19.63,ME,Montenegro,Podgorica,PM10,2013,8,29
2013-08-30 00:00:00+01:00,17.99,ME,Montenegro,Podgorica,PM10,2013,8,30
2013-08-31 00:00:00+01:00,36.88,ME,Montenegro,Podgorica,PM10,2013,8,31
2013-09-01 00:00:00+01:00,32.16,ME,Montenegro,Podgorica,PM10,2013,9,1
2013-09-02 00:00:00+01:00,25.75,ME,Montenegro,Podgorica,PM10,2013,9,2
2013-09-03 00:00:00+01:00,28.9,ME,Montenegro,Podgorica,PM10,2013,9,3
2013-09-04 00:00:00+01:00,28.05,ME,Montenegro,Podgorica,PM10,2013,9,4
2013-09-05 00:00:00+01:00,20.22,ME,Montenegro,Podgorica,PM10,2013,9,5
2013-09-06 00:00:00+01:00,16.0,ME,Montenegro,Podgorica,PM10,2013,9,6
2013-09-07 00:00:00+01:00,20.8,ME,Montenegro,Podgorica,PM10,2013,9,7
2013-09-08 00:00:00+01:00,25.12,ME,Montenegro,Podgorica,PM10,2013,9,8
2013-09-09 00:00:00+01:00,28.8,ME,Montenegro,Podgorica,PM10,2013,9,9
2013-09-10 00:00:00+01:00,37.13,ME,Montenegro,Podgorica,PM10,2013,9,10
