Datetime,Concentration,Country_code,Country,City,Pollutant,Year,Month,Day
2013-01-01 01:00:00+01:00,76.78,XK,Kosovo,Pristina,PM10,2013,1,1
2013-01-01 02:00:00+01:00,77.5,XK,Kosovo,Pristina,PM10,2013,1,1
2013-01-01 03:00:00+01:00,82.45,XK,Kosovo,Pristina,PM10,2013,1,1
2013-01-01 04:00:00+01:00,93.64,XK,Kosovo,Pristina,PM10,2013,1,1
2013-01-01 05:00:00+01:00,56.11,XK,Kosovo,Pristina,PM10,2013,1,1
2013-01-01 06:00:00+01:00,45.31,XK,Kosovo,Pristina,PM10,2013,1,1
2013-01-01 07:00:00+01:00,47.55,XK,Kosovo,Pristina,PM10,2013,1,1
2013-01-01 08:00:00+01:00,46.32,XK,Kosovo,Pristina,PM10,2013,1,1
2013-01-01 09:00:00+01:00,53.31,XK,Kosovo,Pristina,PM10,2013,1,1
2013-01-01 10:00:00+01:00,68.45,XK,Kosovo,Pristina,PM10,2013,1,1
2013-01-01 11:00:00+01:00,77.69,XK,Kosovo,Pristina,PM10,2013,1,1
2013-01-01 12:00:00+01:00,84.56,XK,Kosovo,Pristina,PM10,2013,1,1
2013-01-01 13:00:00+01:00,75.84,XK,Kosovo,Pristina,PM10,2013,1,1
2013-01-01 14:00:00+01:00,92.52,XK,Kosovo,Pristina,PM10,2013,1,1
2013-01-01 15:00:00+01:00,82.73,XK,Kosovo,Pristina,PM10,2013,1,1
2013-01-01 16:00:00+01:00,71.53,XK,Kosovo,Pristina,PM10,2013,1,1
2013-01-01 17:00:00+01:00,73.81,XK,Kosovo,Pristina,PM10,2013,1,1
2013-01-01 18:00:00+01:00,60.96,XK,Kosovo,Pristina,PM10,2013,1,1
2013-01-01 19:00:00+01:00,64.17,XK,Kosovo,Pristina,PM10,2013,1,1
2013-01-01 20:00:00+01:00,65.54,XK,Kosovo,Pristina,PM10,2013,1,1
2013-01-01 21:00:00+01:00,66.39,XK,Kosovo,Pristina,PM10,2013,1,1
2013-01-01 22:00:00+01:00,90.94,XK,Kosovo,Pristina,PM10,2013,1,1
2013-01-01 23:00:00+01:00,64.17,XK,Kosovo,Pristina,PM10,2013,1,1
2013-01-02 00:00:00+01:00,72.78,XK,Kosovo,Pristina,PM10,2013,1,2
2013-01-02 01:00:00+01:00,68.47,XK,Kosovo,Pristina,PM10,2013,1,2
2013-01-02 02:00:00+01:00,71.65,XK,Kosovo,Pristina,PM10,2013,1,2
2013-01-02 03:00:00+01:00,64.0,XK,Kosovo,Pristina,PM10,2013,1,2
2013-01-02 04:00:00+01:00,70.74,XK,Kosovo,Pristina,PM10,2013,1,2
2013-01-02 05:00:00+01:00,70.24,XK,Kosovo,Pristina,PM10,2013,1,2
2013-01-02 06:00:00+01:00,79.91,XK,Kosovo,Pristina,PM10,2013,1,2
2013-01-02 07:00:00+01:00,79.27,XK,Kosovo,Pristina,PM10,2013,1,2
2013-01-02 08:00:00+01:00,97.41,XK,Kosovo,Pristina,PM10,2013,1,2
2013-01-02 09:00:00+01:00,88.33,XK,Kosovo,Pristina,PM10,2013,1,2
2013-01-02 10:00:00+01:00,91.08,XK,Kosovo,Pristina,PM10,2013,1,2
2013-01-02 11:00:00+01:00,101.67,XK,Kosovo,Pristina,PM10,2013,1,2
2013-01-02 12:00:00+01:00,109.15,XK,Kosovo,Pristina,PM10,2013,1,2
2013-01-02 13:00:00+01:00,85.94,XK,Kosovo,Pristina,PM10,2013,1,2
2013-01-02 14:00:00+01:00,91.34,XK,Kosovo,Pristina,PM10,2013,1,2
2013-01-02 15:00:00+01:00,100.71,XK,Kosovo,Pristina,PM10,2013,1,2
2013-01-02 16:00:00+01:00,99.86,XK,Kosovo,Pristina,PM10,2013,1,2
2013-01-02 17:00:00+01:00,92.46,XK,Kosovo,Pristina,PM10,2013,1,2
2013-01-02 18:00:00+01:00,93.8,XK,Kosovo,Pristina,PM10,2013,1,2
2013-01-02 19:00:00+01:00,83.02,XK,Kosovo,Pristina,PM10,2013,1,2
2013-01-02 20:00:00+01:00,80.18,XK,Kosovo,Pristina,PM10,2013,1,2
2013-01-02 21:00:00+01:00,67.91,XK,Kosovo,Pristina,PM10,2013,1,2
2013-01-02 22:00:00+01:00,67.91,XK,Kosovo,Pristina,PM10,2013,1,2
2013-01-02 23:00:00+01:00,73.93,XK,Kosovo,Pristina,PM10,2013,1,2
2013-01-03 00:00:00+01:00,75.59,XK,Kosovo,Pristina,PM10,2013,1,3
2013-01-03 01:00:00+01:00,73.81,XK,Kosovo,Pristina,PM10,2013,1,3
2013-01-03 02:00:00+01:00,65.76,XK,Kosovo,Pristina,PM10,2013,1,3
2013-01-03 03:00:00+01:00,58.33,XK,Kosovo,Pristina,PM10,2013,1,3
2013-01-03 04:00:00+01:00,59.84,XK,Kosovo,Pristina,PM10,2013,1,3
2013-01-03 05:00:00+01:00,65.56,XK,Kosovo,Pristina,PM10,2013,1,3
2013-01-03 06:00:00+01:00,62.64,XK,Kosovo,Pristina,PM10,2013,1,3
2013-01-03 07:00:00+01:00,61.98,XK,Kosovo,Pristina,PM10,2013,1,3
2013-01-03 08:00:00+01:00,64.07,XK,Kosovo,Pristina,PM10,2013,1,3
2013-01-03 09:00:00+01:00,84.52,XK,Kosovo,Pristina,PM10,2013,1,3
2013-01-03 10:00:00+01:00,88.05,XK,Kosovo,Pristina,PM10,2013,1,3
2013-01-03 11:00:00+01:00,83.66,XK,Kosovo,Pristina,PM10,2013,1,3
2013-01-03 12:00:00+01:00,85.85,XK,Kosovo,Pristina,PM10,2013,1,3
2013-01-03 13:00:00+01:00,88.36,XK,Kosovo,Pristina,PM10,2013,1,3
2013-01-03 14:00:00+01:00,87.08,XK,Kosovo,Pristina,PM10,2013,1,3
2013-01-03 15:00:00+01:00,93.07,XK,Kosovo,Pristina,PM10,2013,1,3
2013-01-03 16:00:00+01:00,79.17,XK,Kosovo,Pristina,PM10,2013,1,3
2013-01-03 17:00:00+01:00,99.4,XK,Kosovo,Pristina,PM10,2013,1,3
2013-01-03 18:00:00+01:00,96.44,XK,Kosovo,Pristina,PM10,2013,1,3
2013-01-03 19:00:00+01:00,88.32,XK,Kosovo,Pristina,PM10,2013,1,3
2013-01-03 20:00:00+01:00,104.06,XK,Kosovo,Pristina,PM10,2013,1,3
2013-01-03 21:00:00+01:00,98.34,XK,Kosovo,Pristina,PM10,2013,1,3
2013-01-03 22:00:00+01:00,81.6,XK,Kosovo,Pristina,PM10,2013,1,3
2013-01-03 23:00:00+01:00,88.82,XK,Kosovo,Pristina,PM10,2013,1,3
2013-01-04 00:00:00+01:00,79.02,XK,Kosovo,Pristina,PM10,2013,1,4
2013-01-04 01:00:00+01:00,78.76,XK,Kosovo,Pristina,PM10,2013,1,4
2013-01-04 02:00:00+01:00,78.15,XK,Kosovo,Pristina,PM10,2013,1,4
2013-01-04 03:00:00+01:00,78.46,XK,Kosovo,Pristina,PM10,2013,1,4
2013-01-04 04:00:00+01:00,82.38,XK,Kosovo,Pristina,PM10,2013,1,4
2013-01-04 05:00:00+01:00,83.33,XK,Kosovo,Pristina,PM10,2013,1,4
2013-01-04 06:00:00+01:00,89.88,XK,Kosovo,Pristina,PM10,2013,1,4
2013-01-04 07:00:00+01:00,81.21,XK,Kosovo,Pristina,PM10,2013,1,4
2013-01-04 08:00:00+01:00,85.57,XK,Kosovo,Pristina,PM10,2013,1,4
2013-01-04 09:00:00+01:00,81.83,XK,Kosovo,Pristina,PM10,2013,1,4
2013-01-04 10:00:00+01:00,104.57,XK,Kosovo,Pristina,PM10,2013,1,4
2013-01-04 11:00:00+01:00,94.76,XK,Kosovo,Pristina,PM10,2013,1,4
2013-01-04 12:00:00+01:00,82.21,XK,Kosovo,Pristina,PM10,2013,1,4
2013-01-04 13:00:00+01:00,79.7,XK,Kosovo,Pristina,PM10,2013,1,4
2013-01-04 14:00:00+01:00,91.7,XK,Kosovo,Pristina,PM10,2013,1,4
2013-01-04 15:00:00+01:00,102.11,XK,Kosovo,Pristina,PM10,2013,1,4
