Datetime,Concentration,Country_code,Country,City,Pollutant,Year,Month,Day
2015-01-01 01:00:00+01:00,20.32,IS,Island,Reykjavík,PM10,2015,1,1
2015-01-02 00:00:00+01:00,6.62,IS,Island,Reykjavík,PM10,2015,1,2
2015-01-03 00:00:00+01:00,18.17,IS,Island,Reykjavík,PM10,2015,1,3
2015-01-04 00:00:00+01:00,12.87,IS,Island,Reykjavík,PM10,2015,1,4
2015-01-05 00:00:00+01:00,0.38,IS,Island,Reykjavík,PM10,2015,1,5
2015-01-06 00:00:00+01:00,4.72,IS,Island,Reykjavík,PM10,2015,1,6
2015-01-07 00:00:00+01:00,4.09,IS,Island,Reykjavík,PM10,2015,1,7
2015-01-08 00:00:00+01:00,9.85,IS,Island,Reykjavík,PM10,2015,1,8
2015-01-09 00:00:00+01:00,8.91,IS,Island,Reykjavík,PM10,2015,1,9
2015-01-10 00:00:00+01:00,2.67,IS,Island,Reykjavík,PM10,2015,1,10
2015-01-11 00:00:00+01:00,13.99,IS,Island,Reykjavík,PM10,2015,1,11
2015-01-12 00:00:00+01:00,14.52,IS,Island,Reykjavík,PM10,2015,1,12
2015-01-13 00:00:00+01:00,17.66,IS,Island,Reykjavík,PM10,2015,1,13
2015-01-14 00:00:00+01:00,4.14,IS,Island,Reykjavík,PM10,2015,1,14
2015-01-15 00:00:00+01:00,7.68,IS,Island,Reykjavík,PM10,2015,1,15
2015-01-16 00:00:00+01:00,7.12,IS,Island,Reykjavík,PM10,2015,1,16
2015-01-17 00:00:00+01:00,8.05,IS,Island,Reykjavík,PM10,2015,1,17
2015-01-18 00:00:00+01:00,11.37,IS,Island,Reykjavík,PM10,2015,1,18
2015-01-19 00:00:00+01:00,3.75,IS,Island,Reykjavík,PM10,2015,1,19
2015-01-20 00:00:00+01:00,13.16,IS,Island,Reykjavík,PM10,2015,1,20
2015-01-21 00:00:00+01:00,19.41,IS,Island,Reykjavík,PM10,2015,1,21
2015-01-22 00:00:00+01:00,8.82,IS,Island,Reykjavík,PM10,2015,1,22
2015-01-23 00:00:00+01:00,9.62,IS,Island,Reykjavík,PM10,2015,1,23
2015-01-24 00:00:00+01:00,12.47,IS,Island,Reykjavík,PM10,2015,1,24
2015-01-25 00:00:00+01:00,8.18,IS,Island,Reykjavík,PM10,2015,1,25
2015-01-26 00:00:00+01:00,22.69,IS,Island,Reykjavík,PM10,2015,1,26
2015-01-27 00:00:00+01:00,7.14,IS,Island,Reykjavík,PM10,2015,1,27
2015-01-28 00:00:00+01:00,5.31,IS,Island,Reykjavík,PM10,2015,1,28
2015-01-29 00:00:00+01:00,17.71,IS,Island,Reykjavík,PM10,2015,1,29
2015-01-30 00:00:00+01:00,12.93,IS,Island,Reykjavík,PM10,2015,1,30
2015-01-31 00:00:00+01:00,12.03,IS,Island,Reykjavík,PM10,2015,1,31
2015-02-01 00:00:00+01:00,7.65,IS,Island,Reykjavík,PM10,2015,2,1
2015-02-02 00:00:00+01:00,9.8,IS,Island,Reykjavík,PM10,2015,2,2
2015-02-03 00:00:00+01:00,8.42,IS,Island,Reykjavík,PM10,2015,2,3
2015-02-04 00:00:00+01:00,6.92,IS,Island,Reykjavík,PM10,2015,2,4
2015-02-05 00:00:00+01:00,40.26,IS,Island,Reykjavík,PM10,2015,2,5
2015-02-06 00:00:00+01:00,16.12,IS,Island,Reykjavík,PM10,2015,2,6
