Datetime,Concentration,Country_code,Country,City,Pollutant,Year,Month,Day
2013-01-01 01:00:00+01:00,61.0,LV,Latvia,Riga,PM10,2013,1,1
2013-01-01 02:00:00+01:00,24.7,LV,Latvia,Riga,PM10,2013,1,1
2013-01-01 03:00:00+01:00,25.5,LV,Latvia,Riga,PM10,2013,1,1
2013-01-01 04:00:00+01:00,21.1,LV,Latvia,Riga,PM10,2013,1,1
2013-01-01 05:00:00+01:00,16.0,LV,Latvia,Riga,PM10,2013,1,1
2013-01-01 06:00:00+01:00,17.8,LV,Latvia,Riga,PM10,2013,1,1
2013-01-01 07:00:00+01:00,22.1,LV,Latvia,Riga,PM10,2013,1,1
2013-01-01 08:00:00+01:00,23.3,LV,Latvia,Riga,PM10,2013,1,1
2013-01-01 09:00:00+01:00,18.6,LV,Latvia,Riga,PM10,2013,1,1
2013-01-01 10:00:00+01:00,19.9,LV,Latvia,Riga,PM10,2013,1,1
2013-01-01 11:00:00+01:00,23.0,LV,Latvia,Riga,PM10,2013,1,1
2013-01-01 12:00:00+01:00,23.7,LV,Latvia,Riga,PM10,2013,1,1
2013-01-01 13:00:00+01:00,24.4,LV,Latvia,Riga,PM10,2013,1,1
2013-01-01 14:00:00+01:00,23.4,LV,Latvia,Riga,PM10,2013,1,1
2013-01-01 15:00:00+01:00,25.2,LV,Latvia,Riga,PM10,2013,1,1
2013-01-01 16:00:00+01:00,33.8,LV,Latvia,Riga,PM10,2013,1,1
2013-01-01 17:00:00+01:00,32.2,LV,Latvia,Riga,PM10,2013,1,1
2013-01-01 18:00:00+01:00,35.3,LV,Latvia,Riga,PM10,2013,1,1
2013-01-01 19:00:00+01:00,32.4,LV,Latvia,Riga,PM10,2013,1,1
2013-01-01 20:00:00+01:00,28.7,LV,Latvia,Riga,PM10,2013,1,1
2013-01-01 21:00:00+01:00,27.6,LV,Latvia,Riga,PM10,2013,1,1
2013-01-01 22:00:00+01:00,29.6,LV,Latvia,Riga,PM10,2013,1,1
2013-01-01 23:00:00+01:00,16.2,LV,Latvia,Riga,PM10,2013,1,1
2013-01-02 00:00:00+01:00,24.34,LV,Latvia,Riga,PM10,2013,1,2
2013-01-02 01:00:00+01:00,29.2,LV,Latvia,Riga,PM10,2013,1,2
2013-01-02 02:00:00+01:00,17.9,LV,Latvia,Riga,PM10,2013,1,2
2013-01-02 03:00:00+01:00,25.6,LV,Latvia,Riga,PM10,2013,1,2
2013-01-02 04:00:00+01:00,28.5,LV,Latvia,Riga,PM10,2013,1,2
2013-01-02 05:00:00+01:00,26.9,LV,Latvia,Riga,PM10,2013,1,2
2013-01-02 06:00:00+01:00,23.8,LV,Latvia,Riga,PM10,2013,1,2
2013-01-02 07:00:00+01:00,25.8,LV,Latvia,Riga,PM10,2013,1,2
