Datetime,Concentration,Country_code,Country,City,Pollutant,Year,Month,Day
2013-01-02 00:00:00+01:00,17.95,EE,Estonia,Tallinn,PM10,2013,1,2
2013-01-03 00:00:00+01:00,5.05,EE,Estonia,Tallinn,PM10,2013,1,3
2013-01-04 00:00:00+01:00,3.8,EE,Estonia,Tallinn,PM10,2013,1,4
2013-01-05 00:00:00+01:00,6.53,EE,Estonia,Tallinn,PM10,2013,1,5
2013-01-06 00:00:00+01:00,3.07,EE,Estonia,Tallinn,PM10,2013,1,6
2013-01-07 00:00:00+01:00,7.97,EE,Estonia,Tallinn,PM10,2013,1,7
2013-01-08 00:00:00+01:00,5.93,EE,Estonia,Tallinn,PM10,2013,1,8
2013-01-09 00:00:00+01:00,6.53,EE,Estonia,Tallinn,PM10,2013,1,9
2013-01-10 00:00:00+01:00,8.33,EE,Estonia,Tallinn,PM10,2013,1,10
2013-01-11 00:00:00+01:00,5.77,EE,Estonia,Tallinn,PM10,2013,1,11
2013-01-12 00:00:00+01:00,15.47,EE,Estonia,Tallinn,PM10,2013,1,12
2013-01-13 00:00:00+01:00,24.73,EE,Estonia,Tallinn,PM10,2013,1,13
2013-01-14 00:00:00+01:00,13.13,EE,Estonia,Tallinn,PM10,2013,1,14
2013-01-15 00:00:00+01:00,8.03,EE,Estonia,Tallinn,PM10,2013,1,15
2013-01-16 00:00:00+01:00,15.4,EE,Estonia,Tallinn,PM10,2013,1,16
2013-01-17 00:00:00+01:00,13.97,EE,Estonia,Tallinn,PM10,2013,1,17
2013-01-18 00:00:00+01:00,13.4,EE,Estonia,Tallinn,PM10,2013,1,18
2013-01-19 00:00:00+01:00,19.1,EE,Estonia,Tallinn,PM10,2013,1,19
2013-01-20 00:00:00+01:00,20.73,EE,Estonia,Tallinn,PM10,2013,1,20
2013-01-21 00:00:00+01:00,11.57,EE,Estonia,Tallinn,PM10,2013,1,21
2013-01-22 00:00:00+01:00,9.03,EE,Estonia,Tallinn,PM10,2013,1,22
2013-01-23 00:00:00+01:00,10.33,EE,Estonia,Tallinn,PM10,2013,1,23
2013-01-24 00:00:00+01:00,5.4,EE,Estonia,Tallinn,PM10,2013,1,24
2013-01-25 00:00:00+01:00,6.03,EE,Estonia,Tallinn,PM10,2013,1,25
2013-01-26 00:00:00+01:00,12.73,EE,Estonia,Tallinn,PM10,2013,1,26
2013-01-27 00:00:00+01:00,13.4,EE,Estonia,Tallinn,PM10,2013,1,27
2013-01-28 00:00:00+01:00,18.03,EE,Estonia,Tallinn,PM10,2013,1,28
2013-01-29 00:00:00+01:00,26.47,EE,Estonia,Tallinn,PM10,2013,1,29
2013-01-30 00:00:00+01:00,28.3,EE,Estonia,Tallinn,PM10,2013,1,30
2013-01-31 00:00:00+01:00,15.23,EE,Estonia,Tallinn,PM10,2013,1,31
2013-02-01 00:00:00+01:00,6.03,EE,Estonia,Tallinn,PM10,2013,2,1
2013-02-02 00:00:00+01:00,7.43,EE,Estonia,Tallinn,PM10,2013,2,2
2013-02-03 00:00:00+01:00,8.3,EE,Estonia,Tallinn,PM10,2013,2,3
2013-02-04 00:00:00+01:00,8.57,EE,Estonia,Tallinn,PM10,2013,2,4
2013-02-05 00:00:00+01:00,8.33,EE,Estonia,Tallinn,PM10,2013,2,5
2013-02-06 00:00:00+01:00,11.47,EE,Estonia,Tallinn,PM10,2013,2,6
2013-02-07 00:00:00+01:00,8.35,EE,Estonia,Tallinn,PM10,2013,2,7
2013-02-08 00:00:00+01:00,19.27,EE,Estonia,Tallinn,PM10,2013,2,8
2013-02-09 00:00:00+01:00,11.93,EE,Estonia,Tallinn,PM10,2013,2,9
2013-02-10 00:00:00+01:00,10.97,EE,Estonia,Tallinn,PM10,2013,2,10
2013-02-11 00:00:00+01:00,6.97,EE,Estonia,Tallinn,PM10,2013,2,11
2013-02-12 00:00:00+01:00,6.2,EE,Estonia,Tallinn,PM10,2013,2,12
2013-02-13 00:00:00+01:00,9.17,EE,Estonia,Tallinn,PM10,2013,2,13
2013-02-14 00:00:00+01:00,13.57,EE,Estonia,Tallinn,PM10,2013,2,14
2013-02-15 00:00:00+01:00,13.1,EE,Estonia,Tallinn,PM10,2013,2,15
2013-02-16 00:00:00+01:00,15.73,EE,Estonia,Tallinn,PM10,2013,2,16
2013-02-17 00:00:00+01:00,18.73,EE,Estonia,Tallinn,PM10,2013,2,17
2013-02-18 00:00:00+01:00,17.47,EE,Estonia,Tallinn,PM10,2013,2,18
2013-02-19 00:00:00+01:00,6.9,EE,Estonia,Tallinn,PM10,2013,2,19
2013-02-20 00:00:00+01:00,16.23,EE,Estonia,Tallinn,PM10,2013,2,20
2013-02-21 00:00:00+01:00,9.43,EE,Estonia,Tallinn,PM10,2013,2,21
2013-02-22 00:00:00+01:00,13.77,EE,Estonia,Tallinn,PM10,2013,2,22
2013-02-23 00:00:00+01:00,11.63,EE,Estonia,Tallinn,PM10,2013,2,23
2013-02-24 00:00:00+01:00,12.2,EE,Estonia,Tallinn,PM10,2013,2,24
2013-02-25 00:00:00+01:00,34.9,EE,Estonia,Tallinn,PM10,2013,2,25
2013-02-26 00:00:00+01:00,52.9,EE,Estonia,Tallinn,PM10,2013,2,26
2013-02-27 00:00:00+01:00,28.4,EE,Estonia,Tallinn,PM10,2013,2,27
2013-02-28 00:00:00+01:00,5.23,EE,Estonia,Tallinn,PM10,2013,2,28
2013-03-01 00:00:00+01:00,5.6,EE,Estonia,Tallinn,PM10,2013,3,1
2013-03-02 00:00:00+01:00,3.37,EE,Estonia,Tallinn,PM10,2013,3,2
2013-03-03 00:00:00+01:00,14.4,EE,Estonia,Tallinn,PM10,2013,3,3
2013-03-04 00:00:00+01:00,10.4,EE,Estonia,Tallinn,PM10,2013,3,4
2013-03-05 00:00:00+01:00,13.03,EE,Estonia,Tallinn,PM10,2013,3,5
2013-03-06 00:00:00+01:00,13.1,EE,Estonia,Tallinn,PM10,2013,3,6
2013-03-07 00:00:00+01:00,17.87,EE,Estonia,Tallinn,PM10,2013,3,7
