Datetime,Concentration,Country_code,Country,City,Pollutant,Year,Month,Day
2014-01-01 02:00:00+01:00,33.42,AL,Albania,Tirana,PM10,2014,1,1
2014-01-01 03:00:00+01:00,115.78,AL,Albania,Tirana,PM10,2014,1,1
2014-01-01 04:00:00+01:00,39.92,AL,Albania,Tirana,PM10,2014,1,1
2014-01-01 05:00:00+01:00,21.4,AL,Albania,Tirana,PM10,2014,1,1
2014-01-01 06:00:00+01:00,18.66,AL,Albania,Tirana,PM10,2014,1,1
2014-01-01 07:00:00+01:00,19.84,AL,Albania,Tirana,PM10,2014,1,1
2014-01-01 08:00:00+01:00,21.48,AL,Albania,Tirana,PM10,2014,1,1
2014-01-01 09:00:00+01:00,17.62,AL,Albania,Tirana,PM10,2014,1,1
2014-01-01 10:00:00+01:00,18.72,AL,Albania,Tirana,PM10,2014,1,1
2014-01-01 11:00:00+01:00,22.33,AL,Albania,Tirana,PM10,2014,1,1
2014-01-01 12:00:00+01:00,21.08,AL,Albania,Tirana,PM10,2014,1,1
2014-01-01 13:00:00+01:00,27.39,AL,Albania,Tirana,PM10,2014,1,1
2014-01-01 14:00:00+01:00,34.37,AL,Albania,Tirana,PM10,2014,1,1
2014-01-01 15:00:00+01:00,38.39,AL,Albania,Tirana,PM10,2014,1,1
2014-01-01 16:00:00+01:00,23.42,AL,Albania,Tirana,PM10,2014,1,1
2014-01-01 17:00:00+01:00,29.43,AL,Albania,Tirana,PM10,2014,1,1
2014-01-01 18:00:00+01:00,38.68,AL,Albania,Tirana,PM10,2014,1,1
2014-01-01 19:00:00+01:00,78.31,AL,Albania,Tirana,PM10,2014,1,1
2014-01-01 20:00:00+01:00,75.26,AL,Albania,Tirana,PM10,2014,1,1
2014-01-01 21:00:00+01:00,79.43,AL,Albania,Tirana,PM10,2014,1,1
2014-01-01 22:00:00+01:00,87.51,AL,Albania,Tirana,PM10,2014,1,1
2014-01-01 23:00:00+01:00,45.97,AL,Albania,Tirana,PM10,2014,1,1
2014-01-02 00:00:00+01:00,34.17,AL,Albania,Tirana,PM10,2014,1,2
2014-01-02 01:00:00+01:00,36.09,AL,Albania,Tirana,PM10,2014,1,2
2014-01-02 02:00:00+01:00,21.68,AL,Albania,Tirana,PM10,2014,1,2
2014-01-02 03:00:00+01:00,24.28,AL,Albania,Tirana,PM10,2014,1,2
2014-01-02 04:00:00+01:00,17.9,AL,Albania,Tirana,PM10,2014,1,2
2014-01-02 05:00:00+01:00,15.55,AL,Albania,Tirana,PM10,2014,1,2
2014-01-02 06:00:00+01:00,14.31,AL,Albania,Tirana,PM10,2014,1,2
2014-01-02 07:00:00+01:00,14.1,AL,Albania,Tirana,PM10,2014,1,2
2014-01-02 08:00:00+01:00,14.12,AL,Albania,Tirana,PM10,2014,1,2
2014-01-02 09:00:00+01:00,14.33,AL,Albania,Tirana,PM10,2014,1,2
2014-01-02 10:00:00+01:00,16.74,AL,Albania,Tirana,PM10,2014,1,2
2014-01-02 11:00:00+01:00,20.88,AL,Albania,Tirana,PM10,2014,1,2
2014-01-02 12:00:00+01:00,37.3,AL,Albania,Tirana,PM10,2014,1,2
2014-01-02 13:00:00+01:00,41.66,AL,Albania,Tirana,PM10,2014,1,2
2014-01-02 14:00:00+01:00,47.52,AL,Albania,Tirana,PM10,2014,1,2
2014-01-02 15:00:00+01:00,65.1,AL,Albania,Tirana,PM10,2014,1,2
2014-01-02 16:00:00+01:00,63.74,AL,Albania,Tirana,PM10,2014,1,2
2014-01-02 17:00:00+01:00,47.98,AL,Albania,Tirana,PM10,2014,1,2
2014-01-02 18:00:00+01:00,47.88,AL,Albania,Tirana,PM10,2014,1,2
2014-01-02 19:00:00+01:00,66.33,AL,Albania,Tirana,PM10,2014,1,2
2014-01-02 20:00:00+01:00,58.95,AL,Albania,Tirana,PM10,2014,1,2
2014-01-02 21:00:00+01:00,43.39,AL,Albania,Tirana,PM10,2014,1,2
2014-01-02 22:00:00+01:00,45.47,AL,Albania,Tirana,PM10,2014,1,2
2014-01-02 23:00:00+01:00,80.6,AL,Albania,Tirana,PM10,2014,1,2
2014-01-03 00:00:00+01:00,57.28,AL,Albania,Tirana,PM10,2014,1,3
2014-01-03 01:00:00+01:00,31.53,AL,Albania,Tirana,PM10,2014,1,3
2014-01-03 02:00:00+01:00,16.75,AL,Albania,Tirana,PM10,2014,1,3
2014-01-03 03:00:00+01:00,16.85,AL,Albania,Tirana,PM10,2014,1,3
2014-01-03 04:00:00+01:00,12.02,AL,Albania,Tirana,PM10,2014,1,3
2014-01-03 05:00:00+01:00,10.76,AL,Albania,Tirana,PM10,2014,1,3
2014-01-03 06:00:00+01:00,9.76,AL,Albania,Tirana,PM10,2014,1,3
2014-01-03 07:00:00+01:00,9.92,AL,Albania,Tirana,PM10,2014,1,3
2014-01-03 08:00:00+01:00,9.79,AL,Albania,Tirana,PM10,2014,1,3
2014-01-03 09:00:00+01:00,9.64,AL,Albania,Tirana,PM10,2014,1,3
2014-01-03 10:00:00+01:00,12.56,AL,Albania,Tirana,PM10,2014,1,3
2014-01-03 11:00:00+01:00,13.91,AL,Albania,Tirana,PM10,2014,1,3
2014-01-03 12:00:00+01:00,16.23,AL,Albania,Tirana,PM10,2014,1,3
2014-01-03 13:00:00+01:00,14.58,AL,Albania,Tirana,PM10,2014,1,3
2014-01-03 14:00:00+01:00,19.7,AL,Albania,Tirana,PM10,2014,1,3
2014-01-03 15:00:00+01:00,19.38,AL,Albania,Tirana,PM10,2014,1,3
2014-01-03 16:00:00+01:00,18.41,AL,Albania,Tirana,PM10,2014,1,3
2014-01-03 17:00:00+01:00,24.49,AL,Albania,Tirana,PM10,2014,1,3
2014-01-03 18:00:00+01:00,43.69,AL,Albania,Tirana,PM10,2014,1,3
2014-01-03 19:00:00+01:00,52.25,AL,Albania,Tirana,PM10,2014,1,3
