Datetime,Concentration,Country_code,Country,City,Pollutant,Year,Month,Day
2013-01-01 01:00:00+01:00,385.46,HR,Croatia,Zagreb,PM10,2013,1,1
2013-01-01 02:00:00+01:00,330.58,HR,Croatia,Zagreb,PM10,2013,1,1
2013-01-01 03:00:00+01:00,267.59,HR,Croatia,Zagreb,PM10,2013,1,1
2013-01-01 04:00:00+01:00,185.61,HR,Croatia,Zagreb,PM10,2013,1,1
2013-01-01 05:00:00+01:00,164.38,HR,Croatia,Zagreb,PM10,2013,1,1
2013-01-01 06:00:00+01:00,160.28,HR,Croatia,Zagreb,PM10,2013,1,1
2013-01-01 07:00:00+01:00,172.94,HR,Croatia,Zagreb,PM10,2013,1,1
2013-01-01 08:00:00+01:00,149.18,HR,Croatia,Zagreb,PM10,2013,1,1
2013-01-01 09:00:00+01:00,114.66,HR,Croatia,Zagreb,PM10,2013,1,1
2013-01-01 10:00:00+01:00,105.88,HR,Croatia,Zagreb,PM10,2013,1,1
2013-01-01 11:00:00+01:00,89.33,HR,Croatia,Zagreb,PM10,2013,1,1
2013-01-01 12:00:00+01:00,72.38,HR,Croatia,Zagreb,PM10,2013,1,1
2013-01-01 13:00:00+01:00,76.99,HR,Croatia,Zagreb,PM10,2013,1,1
2013-01-01 14:00:00+01:00,67.92,HR,Croatia,Zagreb,PM10,2013,1,1
2013-01-01 15:00:00+01:00,66.38,HR,Croatia,Zagreb,PM10,2013,1,1
2013-01-01 16:00:00+01:00,84.51,HR,Croatia,Zagreb,PM10,2013,1,1
2013-01-01 17:00:00+01:00,78.52,HR,Croatia,Zagreb,PM10,2013,1,1
2013-01-01 18:00:00+01:00,75.55,HR,Croatia,Zagreb,PM10,2013,1,1
2013-01-01 19:00:00+01:00,65.78,HR,Croatia,Zagreb,PM10,2013,1,1
2013-01-01 20:00:00+01:00,65.71,HR,Croatia,Zagreb,PM10,2013,1,1
2013-01-01 21:00:00+01:00,68.8,HR,Croatia,Zagreb,PM10,2013,1,1
2013-01-01 22:00:00+01:00,71.41,HR,Croatia,Zagreb,PM10,2013,1,1
2013-01-01 23:00:00+01:00,77.28,HR,Croatia,Zagreb,PM10,2013,1,1
2013-01-02 00:00:00+01:00,90.37,HR,Croatia,Zagreb,PM10,2013,1,2
2013-01-02 01:00:00+01:00,73.86,HR,Croatia,Zagreb,PM10,2013,1,2
2013-01-02 02:00:00+01:00,89.69,HR,Croatia,Zagreb,PM10,2013,1,2
2013-01-02 03:00:00+01:00,82.31,HR,Croatia,Zagreb,PM10,2013,1,2
2013-01-02 04:00:00+01:00,92.18,HR,Croatia,Zagreb,PM10,2013,1,2
2013-01-02 05:00:00+01:00,98.54,HR,Croatia,Zagreb,PM10,2013,1,2
2013-01-02 06:00:00+01:00,91.96,HR,Croatia,Zagreb,PM10,2013,1,2
2013-01-02 07:00:00+01:00,99.92,HR,Croatia,Zagreb,PM10,2013,1,2
2013-01-02 08:00:00+01:00,82.78,HR,Croatia,Zagreb,PM10,2013,1,2
2013-01-02 09:00:00+01:00,89.28,HR,Croatia,Zagreb,PM10,2013,1,2
2013-01-02 10:00:00+01:00,106.9,HR,Croatia,Zagreb,PM10,2013,1,2
2013-01-02 11:00:00+01:00,128.29,HR,Croatia,Zagreb,PM10,2013,1,2
2013-01-02 12:00:00+01:00,106.22,HR,Croatia,Zagreb,PM10,2013,1,2
2013-01-02 13:00:00+01:00,86.46,HR,Croatia,Zagreb,PM10,2013,1,2
2013-01-02 14:00:00+01:00,78.08,HR,Croatia,Zagreb,PM10,2013,1,2
2013-01-02 15:00:00+01:00,64.57,HR,Croatia,Zagreb,PM10,2013,1,2
2013-01-02 16:00:00+01:00,55.42,HR,Croatia,Zagreb,PM10,2013,1,2
2013-01-02 17:00:00+01:00,83.54,HR,Croatia,Zagreb,PM10,2013,1,2
2013-01-02 18:00:00+01:00,74.71,HR,Croatia,Zagreb,PM10,2013,1,2
2013-01-02 19:00:00+01:00,82.9,HR,Croatia,Zagreb,PM10,2013,1,2
2013-01-02 20:00:00+01:00,88.42,HR,Croatia,Zagreb,PM10,2013,1,2
2013-01-02 21:00:00+01:00,105.32,HR,Croatia,Zagreb,PM10,2013,1,2
2013-01-02 22:00:00+01:00,90.43,HR,Croatia,Zagreb,PM10,2013,1,2
2013-01-02 23:00:00+01:00,97.62,HR,Croatia,Zagreb,PM10,2013,1,2
2013-01-03 00:00:00+01:00,113.51,HR,Croatia,Zagreb,PM10,2013,1,3
2013-01-03 01:00:00+01:00,96.8,HR,Croatia,Zagreb,PM10,2013,1,3
2013-01-03 02:00:00+01:00,97.1,HR,Croatia,Zagreb,PM10,2013,1,3
2013-01-03 03:00:00+01:00,73.62,HR,Croatia,Zagreb,PM10,2013,1,3
2013-01-03 04:00:00+01:00,73.12,HR,Croatia,Zagreb,PM10,2013,1,3
2013-01-03 05:00:00+01:00,74.73,HR,Croatia,Zagreb,PM10,2013,1,3
2013-01-03 06:00:00+01:00,65.22,HR,Croatia,Zagreb,PM10,2013,1,3
2013-01-03 07:00:00+01:00,70.65,HR,Croatia,Zagreb,PM10,2013,1,3
2013-01-03 08:00:00+01:00,65.65,HR,Croatia,Zagreb,PM10,2013,1,3
2013-01-03 09:00:00+01:00,76.79,HR,Croatia,Zagreb,PM10,2013,1,3
2013-01-03 10:00:00+01:00,87.84,HR,Croatia,Zagreb,PM10,2013,1,3
2013-01-03 11:00:00+01:00,86.3,HR,Croatia,Zagreb,PM10,2013,1,3
2013-01-03 12:00:00+01:00,103.7,HR,Croatia,Zagreb,PM10,2013,1,3
2013-01-03 13:00:00+01:00,107.2,HR,Croatia,Zagreb,PM10,2013,1,3
2013-01-03 14:00:00+01:00,57.04,HR,Croatia,Zagreb,PM10,2013,1,3
2013-01-03 15:00:00+01:00,44.39,HR,Croatia,Zagreb,PM10,2013,1,3
2013-01-03 16:00:00+01:00,45.33,HR,Croatia,Zagreb,PM10,2013,1,3
2013-01-03 17:00:00+01:00,63.94,HR,Croatia,Zagreb,PM10,2013,1,3
2013-01-03 18:00:00+01:00,68.27,HR,Croatia,Zagreb,PM10,2013,1,3
2013-01-03 19:00:00+01:00,72.71,HR,Croatia,Zagreb,PM10,2013,1,3
2013-01-03 20:00:00+01:00,70.24,HR,Croatia,Zagreb,PM10,2013,1,3
2013-01-03 21:00:00+01:00,65.57,HR,Croatia,Zagreb,PM10,2013,1,3
2013-01-03 22:00:00+01:00,57.49,HR,Croatia,Zagreb,PM10,2013,1,3
2013-01-03 23:00:00+01:00,59.48,HR,Croatia,Zagreb,PM10,2013,1,3
2013-01-04 00:00:00+01:00,90.55,HR,Croatia,Zagreb,PM10,2013,1,4
2013-01-04 01:00:00+01:00,64.88,HR,Croatia,Zagreb,PM10,2013,1,4
2013-01-04 02:00:00+01:00,58.1,HR,Croatia,Zagreb,PM10,2013,1,4
2013-01-04 03:00:00+01:00,55.84,HR,Croatia,Zagreb,PM10,2013,1,4
2013-01-04 04:00:00+01:00,96.54,HR,Croatia,Zagreb,PM10,2013,1,4
2013-01-04 05:00:00+01:00,96.7,HR,Croatia,Zagreb,PM10,2013,1,4
2013-01-04 06:00:00+01:00,78.82,HR,Croatia,Zagreb,PM10,2013,1,4
2013-01-04 07:00:00+01:00,69.89,HR,Croatia,Zagreb,PM10,2013,1,4
2013-01-04 08:00:00+01:00,75.11,HR,Croatia,Zagreb,PM10,2013,1,4
2013-01-04 09:00:00+01:00,81.16,HR,Croatia,Zagreb,PM10,2013,1,4
2013-01-04 10:00:00+01:00,102.08,HR,Croatia,Zagreb,PM10,2013,1,4
2013-01-04 11:00:00+01:00,85.63,HR,Croatia,Zagreb,PM10,2013,1,4
2013-01-04 12:00:00+01:00,68.59,HR,Croatia,Zagreb,PM10,2013,1,4
2013-01-04 13:00:00+01:00,62.87,HR,Croatia,Zagreb,PM10,2013,1,4
2013-01-04 14:00:00+01:00,73.99,HR,Croatia,Zagreb,PM10,2013,1,4
2013-01-04 15:00:00+01:00,98.52,HR,Croatia,Zagreb,PM10,2013,1,4
2013-01-04 16:00:00+01:00,99.86,HR,Croatia,Zagreb,PM10,2013,1,4
2013-01-04 17:00:00+01:00,85.43,HR,Croatia,Zagreb,PM10,2013,1,4
2013-01-04 18:00:00+01:00,102.53,HR,Croatia,Zagreb,PM10,2013,1,4
2013-01-04 19:00:00+01:00,139.58,HR,Croatia,Zagreb,PM10,2013,1,4
2013-01-04 20:00:00+01:00,145.42,HR,Croatia,Zagreb,PM10,2013,1,4
2013-01-04 21:00:00+01:00,164.69,HR,Croatia,Zagreb,PM10,2013,1,4
2013-01-04 22:00:00+01:00,195.52,HR,Croatia,Zagreb,PM10,2013,1,4
2013-01-04 23:00:00+01:00,201.68,HR,Croatia,Zagreb,PM10,2013,1,4
2013-01-05 00:00:00+01:00,134.49,HR,Croatia,Zagreb,PM10,2013,1,5
2013-01-05 01:00:00+01:00,172.39,HR,Croatia,Zagreb,PM10,2013,1,5
2013-01-05 02:00:00+01:00,145.83,HR,Croatia,Zagreb,PM10,2013,1,5
2013-01-05 03:00:00+01:00,128.8,HR,Croatia,Zagreb,PM10,2013,1,5
2013-01-05 04:00:00+01:00,113.2,HR,Croatia,Zagreb,PM10,2013,1,5
2013-01-05 05:00:00+01:00,130.67,HR,Croatia,Zagreb,PM10,2013,1,5
2013-01-05 06:00:00+01:00,101.23,HR,Croatia,Zagreb,PM10,2013,1,5
2013-01-05 07:00:00+01:00,81.35,HR,Croatia,Zagreb,PM10,2013,1,5
2013-01-05 08:00:00+01:00,61.71,HR,Croatia,Zagreb,PM10,2013,1,5
2013-01-05 09:00:00+01:00,84.4,HR,Croatia,Zagreb,PM10,2013,1,5
2013-01-05 10:00:00+01:00,112.11,HR,Croatia,Zagreb,PM10,2013,1,5
2013-01-05 11:00:00+01:00,126.3,HR,Croatia,Zagreb,PM10,2013,1,5
2013-01-05 12:00:00+01:00,132.62,HR,Croatia,Zagreb,PM10,2013,1,5
2013-01-05 13:00:00+01:00,122.82,HR,Croatia,Zagreb,PM10,2013,1,5
2013-01-05 14:00:00+01:00,91.36,HR,Croatia,Zagreb,PM10,2013,1,5
2013-01-05 15:00:00+01:00,79.19,HR,Croatia,Zagreb,PM10,2013,1,5
2013-01-05 16:00:00+01:00,97.01,HR,Croatia,Zagreb,PM10,2013,1,5
2013-01-05 17:00:00+01:00,151.65,HR,Croatia,Zagreb,PM10,2013,1,5
2013-01-05 18:00:00+01:00,158.55,HR,Croatia,Zagreb,PM10,2013,1,5
2013-01-05 19:00:00+01:00,77.72,HR,Croatia,Zagreb,PM10,2013,1,5
2013-01-05 20:00:00+01:00,7.4,HR,Croatia,Zagreb,PM10,2013,1,5
2013-01-05 21:00:00+01:00,6.1,HR,Croatia,Zagreb,PM10,2013,1,5
2013-01-05 22:00:00+01:00,3.17,HR,Croatia,Zagreb,PM10,2013,1,5
2013-01-05 23:00:00+01:00,4.55,HR,Croatia,Zagreb,PM10,2013,1,5
2013-01-06 00:00:00+01:00,17.51,HR,Croatia,Zagreb,PM10,2013,1,6
2013-01-06 01:00:00+01:00,10.44,HR,Croatia,Zagreb,PM10,2013,1,6
2013-01-06 02:00:00+01:00,8.87,HR,Croatia,Zagreb,PM10,2013,1,6
2013-01-06 03:00:00+01:00,4.92,HR,Croatia,Zagreb,PM10,2013,1,6
2013-01-06 04:00:00+01:00,8.81,HR,Croatia,Zagreb,PM10,2013,1,6
2013-01-06 05:00:00+01:00,7.84,HR,Croatia,Zagreb,PM10,2013,1,6
2013-01-06 06:00:00+01:00,14.1,HR,Croatia,Zagreb,PM10,2013,1,6
2013-01-06 07:00:00+01:00,10.51,HR,Croatia,Zagreb,PM10,2013,1,6
2013-01-06 08:00:00+01:00,16.79,HR,Croatia,Zagreb,PM10,2013,1,6
2013-01-06 09:00:00+01:00,20.76,HR,Croatia,Zagreb,PM10,2013,1,6
2013-01-06 10:00:00+01:00,23.03,HR,Croatia,Zagreb,PM10,2013,1,6
2013-01-06 11:00:00+01:00,22.99,HR,Croatia,Zagreb,PM10,2013,1,6
2013-01-06 12:00:00+01:00,22.47,HR,Croatia,Zagreb,PM10,2013,1,6
2013-01-06 13:00:00+01:00,18.91,HR,Croatia,Zagreb,PM10,2013,1,6
2013-01-06 14:00:00+01:00,12.82,HR,Croatia,Zagreb,PM10,2013,1,6
2013-01-06 15:00:00+01:00,16.68,HR,Croatia,Zagreb,PM10,2013,1,6
2013-01-06 16:00:00+01:00,16.41,HR,Croatia,Zagreb,PM10,2013,1,6
2013-01-06 17:00:00+01:00,16.94,HR,Croatia,Zagreb,PM10,2013,1,6
2013-01-06 18:00:00+01:00,18.83,HR,Croatia,Zagreb,PM10,2013,1,6
2013-01-06 19:00:00+01:00,15.5,HR,Croatia,Zagreb,PM10,2013,1,6
2013-01-06 20:00:00+01:00,19.29,HR,Croatia,Zagreb,PM10,2013,1,6
2013-01-06 21:00:00+01:00,33.54,HR,Croatia,Zagreb,PM10,2013,1,6
2013-01-06 22:00:00+01:00,46.36,HR,Croatia,Zagreb,PM10,2013,1,6
2013-01-06 23:00:00+01:00,62.92,HR,Croatia,Zagreb,PM10,2013,1,6
2013-01-07 00:00:00+01:00,41.21,HR,Croatia,Zagreb,PM10,2013,1,7
2013-01-07 01:00:00+01:00,46.59,HR,Croatia,Zagreb,PM10,2013,1,7
2013-01-07 02:00:00+01:00,41.72,HR,Croatia,Zagreb,PM10,2013,1,7
2013-01-07 03:00:00+01:00,33.75,HR,Croatia,Zagreb,PM10,2013,1,7
2013-01-07 04:00:00+01:00,31.55,HR,Croatia,Zagreb,PM10,2013,1,7
2013-01-07 05:00:00+01:00,34.01,HR,Croatia,Zagreb,PM10,2013,1,7
2013-01-07 06:00:00+01:00,26.5,HR,Croatia,Zagreb,PM10,2013,1,7
2013-01-07 07:00:00+01:00,20.65,HR,Croatia,Zagreb,PM10,2013,1,7
2013-01-07 08:00:00+01:00,24.5,HR,Croatia,Zagreb,PM10,2013,1,7
2013-01-07 09:00:00+01:00,30.72,HR,Croatia,Zagreb,PM10,2013,1,7
2013-01-07 10:00:00+01:00,4.24,HR,Croatia,Zagreb,PM10,2013,1,7
2013-01-07 11:00:00+01:00,11.12,HR,Croatia,Zagreb,PM10,2013,1,7
2013-01-07 12:00:00+01:00,11.71,HR,Croatia,Zagreb,PM10,2013,1,7
2013-01-07 13:00:00+01:00,16.16,HR,Croatia,Zagreb,PM10,2013,1,7
2013-01-07 14:00:00+01:00,14.32,HR,Croatia,Zagreb,PM10,2013,1,7
2013-01-07 15:00:00+01:00,17.15,HR,Croatia,Zagreb,PM10,2013,1,7
2013-01-07 16:00:00+01:00,14.95,HR,Croatia,Zagreb,PM10,2013,1,7
2013-01-07 17:00:00+01:00,11.84,HR,Croatia,Zagreb,PM10,2013,1,7
2013-01-07 18:00:00+01:00,21.46,HR,Croatia,Zagreb,PM10,2013,1,7
2013-01-07 19:00:00+01:00,40.83,HR,Croatia,Zagreb,PM10,2013,1,7
2013-01-07 20:00:00+01:00,46.44,HR,Croatia,Zagreb,PM10,2013,1,7
2013-01-07 21:00:00+01:00,40.47,HR,Croatia,Zagreb,PM10,2013,1,7
2013-01-07 22:00:00+01:00,30.01,HR,Croatia,Zagreb,PM10,2013,1,7
2013-01-07 23:00:00+01:00,36.31,HR,Croatia,Zagreb,PM10,2013,1,7
2013-01-08 00:00:00+01:00,39.28,HR,Croatia,Zagreb,PM10,2013,1,8
2013-01-08 01:00:00+01:00,37.51,HR,Croatia,Zagreb,PM10,2013,1,8
2013-01-08 02:00:00+01:00,41.71,HR,Croatia,Zagreb,PM10,2013,1,8
2013-01-08 03:00:00+01:00,37.56,HR,Croatia,Zagreb,PM10,2013,1,8
2013-01-08 04:00:00+01:00,46.32,HR,Croatia,Zagreb,PM10,2013,1,8
2013-01-08 05:00:00+01:00,36.97,HR,Croatia,Zagreb,PM10,2013,1,8
2013-01-08 06:00:00+01:00,33.04,HR,Croatia,Zagreb,PM10,2013,1,8
2013-01-08 07:00:00+01:00,36.39,HR,Croatia,Zagreb,PM10,2013,1,8
2013-01-08 08:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,8
2013-01-08 09:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,8
2013-01-08 10:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,8
2013-01-08 11:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,8
2013-01-08 12:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,8
2013-01-08 13:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,8
2013-01-08 14:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,8
2013-01-08 15:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,8
2013-01-08 16:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,8
2013-01-08 17:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,8
2013-01-08 18:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,8
2013-01-08 19:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,8
2013-01-08 20:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,8
2013-01-08 21:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,8
2013-01-08 22:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,8
2013-01-08 23:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,8
2013-01-09 00:00:00+01:00,33.59,HR,Croatia,Zagreb,PM10,2013,1,9
2013-01-09 01:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,9
2013-01-09 02:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,9
2013-01-09 03:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,9
2013-01-09 04:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,9
2013-01-09 05:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,9
2013-01-09 06:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,9
2013-01-09 07:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,9
2013-01-09 08:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,9
2013-01-09 09:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,9
2013-01-09 10:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,9
2013-01-09 11:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,9
2013-01-09 12:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,9
2013-01-09 13:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,9
2013-01-09 14:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,9
2013-01-09 15:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,9
2013-01-09 16:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,9
2013-01-09 17:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,9
2013-01-09 18:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,9
2013-01-09 19:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,9
2013-01-09 20:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,9
2013-01-09 21:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,9
2013-01-09 22:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,9
2013-01-09 23:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,9
2013-01-10 00:00:00+01:00,46.23,HR,Croatia,Zagreb,PM10,2013,1,10
2013-01-10 01:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,10
2013-01-10 02:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,10
2013-01-10 03:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,10
2013-01-10 04:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,10
2013-01-10 05:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,10
2013-01-10 06:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,10
2013-01-10 07:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,10
2013-01-10 08:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,10
2013-01-10 09:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,10
2013-01-10 10:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,10
2013-01-10 11:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,10
2013-01-10 12:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,10
2013-01-10 13:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,10
2013-01-10 14:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,10
2013-01-10 15:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,10
2013-01-10 16:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,10
2013-01-10 17:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,10
2013-01-10 18:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,10
2013-01-10 19:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,10
2013-01-10 20:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,10
2013-01-10 21:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,10
2013-01-10 22:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,10
2013-01-10 23:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,10
2013-01-11 00:00:00+01:00,23.36,HR,Croatia,Zagreb,PM10,2013,1,11
2013-01-11 01:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,11
2013-01-11 02:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,11
2013-01-11 03:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,11
2013-01-11 04:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,11
2013-01-11 05:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,11
2013-01-11 06:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,11
2013-01-11 07:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,11
2013-01-11 08:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,11
2013-01-11 09:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,11
2013-01-11 10:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,11
2013-01-11 11:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,11
2013-01-11 12:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,11
2013-01-11 13:00:00+01:00,0.0,HR,Croatia,Zagreb,PM10,2013,1,11
2013-01-11 14:00:00+01:00,14.26,HR,Croatia,Zagreb,PM10,2013,1,11
2013-01-11 15:00:00+01:00,70.97,HR,Croatia,Zagreb,PM10,2013,1,11
2013-01-11 16:00:00+01:00,81.64,HR,Croatia,Zagreb,PM10,2013,1,11
2013-01-11 17:00:00+01:00,63.25,HR,Croatia,Zagreb,PM10,2013,1,11
2013-01-11 18:00:00+01:00,52.78,HR,Croatia,Zagreb,PM10,2013,1,11
2013-01-11 19:00:00+01:00,37.25,HR,Croatia,Zagreb,PM10,2013,1,11
