Location,Pollutant,Year,Mean_concentration,median,upper,lower
Albania,Ambient particulate matter pollution,1990,24.9474816,23.76174036,42.55203505,12.2833867
Albania,Ambient particulate matter pollution,1995,24.12933961,23.39114563,38.68839057,13.24450703
Albania,Ambient particulate matter pollution,2000,24.30286936,23.752234,36.88573489,14.8963245
Albania,Ambient particulate matter pollution,2005,22.16948971,21.86782299,30.57674425,15.75687751
Albania,Ambient particulate matter pollution,2010,21.63144957,21.62782944,24.31893975,19.07650969
Albania,Ambient particulate matter pollution,2011,23.414815,23.41782746,26.19645599,20.59361571
Albania,Ambient particulate matter pollution,2012,21.55597679,21.53144321,24.12081206,18.89806201
Albania,Ambient particulate matter pollution,2013,20.05028087,20.0556903,22.45298069,17.63693199
Albania,Ambient particulate matter pollution,2014,19.94217042,19.9384881,22.29925386,17.59281448
Albania,Ambient particulate matter pollution,2015,19.54397528,19.54052074,21.8434902,17.18573539
Albania,Ambient particulate matter pollution,2016,17.81730527,17.79064501,19.93103319,15.6886413
Albania,Ambient particulate matter pollution,2017,19.01906113,19.02078236,21.18236185,16.8025531
Albania,Ambient particulate matter pollution,2018,18.82011853,18.81556909,20.9444868,16.63784667
Albania,Ambient particulate matter pollution,2019,18.63878032,18.64152176,20.74442757,16.48974501
Andorra,Ambient particulate matter pollution,1990,14.26030327,13.43164433,25.00849116,7.043848639
Andorra,Ambient particulate matter pollution,1995,12.89488469,12.35996921,21.3399007,7.252836799
Andorra,Ambient particulate matter pollution,2000,13.6184311,13.25471385,21.06026376,8.238824937
Andorra,Ambient particulate matter pollution,2005,12.17828755,11.90734886,16.68206907,8.674636698
Andorra,Ambient particulate matter pollution,2010,11.25750375,11.20794314,12.88365476,9.836139717
Andorra,Ambient particulate matter pollution,2011,12.31364419,12.26948397,14.08503237,10.78573769
Andorra,Ambient particulate matter pollution,2012,11.21333853,11.16331363,12.8398979,9.811338587
Andorra,Ambient particulate matter pollution,2013,10.22088866,10.17346196,11.74607579,8.936446036
Andorra,Ambient particulate matter pollution,2014,9.589170072,9.544754606,11.01154451,8.398688731
Andorra,Ambient particulate matter pollution,2015,10.34568624,10.29754575,11.84599253,9.027197623
Andorra,Ambient particulate matter pollution,2016,8.943875425,8.894825103,10.27605094,7.821344041
Andorra,Ambient particulate matter pollution,2017,9.137722902,9.104640414,10.47657864,7.975433895
Andorra,Ambient particulate matter pollution,2018,9.181820028,9.148396398,10.54567622,8.0187171
Andorra,Ambient particulate matter pollution,2019,9.066401367,9.035194109,10.41131267,7.90896336
Austria,Ambient particulate matter pollution,1990,21.28759264,20.2922777,37.05850332,11.43266206
Austria,Ambient particulate matter pollution,1995,20.10142092,19.35067769,31.64820402,11.986633
Austria,Ambient particulate matter pollution,2000,17.30168358,16.91269251,25.83965435,10.90543806
Austria,Ambient particulate matter pollution,2005,16.47804063,16.23252122,22.0807367,12.20437102
Austria,Ambient particulate matter pollution,2010,15.7085395,15.69503252,16.15994889,15.28397335
Austria,Ambient particulate matter pollution,2011,16.0961842,16.10080714,16.54410931,15.65480988
Austria,Ambient particulate matter pollution,2012,14.50094818,14.50126552,14.92988042,14.10803858
Austria,Ambient particulate matter pollution,2013,14.50183038,14.49363816,14.91081176,14.10404298
Austria,Ambient particulate matter pollution,2014,12.81319702,12.8104796,13.16257092,12.47427453
Austria,Ambient particulate matter pollution,2015,13.35116934,13.34633012,13.7366424,12.98583454
Austria,Ambient particulate matter pollution,2016,12.30410306,12.30498775,12.64475656,11.97089541
Austria,Ambient particulate matter pollution,2017,11.96813105,11.9690519,12.30847388,11.63987319
Austria,Ambient particulate matter pollution,2018,12.31952644,12.31840018,12.6758988,11.99213016
Austria,Ambient particulate matter pollution,2019,12.16821803,12.16871548,12.51988812,11.84345302
Belarus,Ambient particulate matter pollution,1990,25.2079681,24.10854794,44.20865592,13.66596722
Belarus,Ambient particulate matter pollution,1995,23.08216971,22.1429686,39.14721199,13.14795044
Belarus,Ambient particulate matter pollution,2000,21.8129049,21.20127131,33.25226771,13.91853129
Belarus,Ambient particulate matter pollution,2005,21.00241299,20.66887323,29.08703,15.04823131
Belarus,Ambient particulate matter pollution,2010,22.09841962,22.04048356,25.42256149,19.36902499
Belarus,Ambient particulate matter pollution,2011,19.55318145,19.50830753,22.3340693,17.11622734
Belarus,Ambient particulate matter pollution,2012,18.88122818,18.81918259,21.59745575,16.51146141
Belarus,Ambient particulate matter pollution,2013,19.78007712,19.73589329,22.57297703,17.23355565
Belarus,Ambient particulate matter pollution,2014,20.21540632,20.13008973,23.24307606,17.58011347
Belarus,Ambient particulate matter pollution,2015,18.50294397,18.47330825,21.27321207,16.10005406
Belarus,Ambient particulate matter pollution,2016,16.71207883,16.66379736,19.1697086,14.55354239
